id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1
d0.95lr0.1-0,-1.3670949136048591,0.892356329165841,-5.852561805472748,-0.46254707440376885,-11.203383617363329,-2.2781690024696726,-13.6792094623354,-7.415897919520248,-14.500141857387984,-14.228154487853189,-14.413013883966897,-21.444635068229502,-13.517649627199184,-28.585126609529848,-11.51289353557271,-34.797664569940636,-7.330789786771554,-40.33763820435001,-3.430038267622639,-46.53445030303078,1.126593333235453,-53.34653569495651,5.898150299867467,-59.011652049929154,10.286974152581594,-64.22873500507409,15.502853539643105,-68.44771925719037,21.400083663887205,-71.44573255840771,26.497452301293144,-75.02573906289707,32.182698078734894,-76.97251351029851,38.069815458753595,-78.18690955459336,42.844835999696365,-81.93919793311032,48.85937057247765,-81.65588275489314,55.26552684338065,-77.93725812001892,61.36133773632967,-77.68415578853225,66.92126097234674,-77.77846758653902,73.00460026192015,-74.93604143868369,78.64268492790221,-75.67899417870852,84.13827697412648,-76.19455603412393,89.15775846299553,-75.74844085497972,94.4429131047489,-76.24073053704201,99.79018468803301,-75.94671670020797,104.77570541304377,-76.04153574319523,109.2332859390803,-76.9951758343189,113.42206982162212,-77.24276724386759,117.61700439730869,-78.44353279038354,121.87698070381713,-76.78581308599217,126.00668152425249,-75.32759331586324,130.28310173390304,-72.35367108071743,134.47781766411256,-69.73824453795092,138.18181073707078,-67.73953771667144,142.42331690878424,-66.01137486107875,145.95872444621193,-65.19626992993447
d0.95lr0.1-1,-1.252770872775823,0.4821973899677454,-0.5894495843479595,-5.343135673211397,1.7894324636766106,-13.484852953350373,5.876170535020713,-21.726230672046192,10.09878481763446,-30.019225127388612,14.734043414226544,-37.1058953113338,20.13991912074305,-42.09981059759513,25.852734059888974,-47.01735363619839,31.388635587062478,-51.52170909946255,36.72390567802607,-55.83793242643072,42.28308994385824,-60.16687480945848,47.464785255129094,-65.20207675665553,52.69226593090309,-66.3606486954804,57.45031270813549,-69.02140727092271,62.796792587885264,-71.26302853210294,68.10636367096704,-72.2694967891159,73.50961257645238,-73.51191194362087,78.57943484706055,-75.02767024801943,83.36458362271684,-75.89443205105646,87.84160654276413,-77.03235872147829,92.4879391411355,-76.89162085985393,96.8442061772219,-76.15737236225584,101.852655508566,-74.51712604036277,106.11867042985605,-74.64546258556065,110.38589136954685,-72.25769445610928,114.08561291401796,-72.36538207973938,118.33537993440598,-71.03144185253055,122.44167009518591,-70.31473101156635,126.47092348780251,-70.34548427252335,130.27036276212883,-70.0647891136709,134.54051363765439,-68.04560153030489,138.67683981077877,-65.69910209577702,142.86144791513715,-61.71490434717645,146.53730328355306,-59.049423785120716,150.2650843835931,-57.107734338782976,153.44980000654098,-55.59083293374641,156.99633560342645,-54.10667744591837,160.35574019369366,-52.668900703574074,163.26174492035219,-52.162321929752,166.47159369232273,-49.677565803207024
d0.95lr0.1-2,-0.5919757510944237,-0.42466760508354173,-0.555028051962033,-4.885507714505141,2.5530774201092896,-13.461088703629098,6.654478156075042,-21.08111659852489,11.131902555282576,-30.17193469213525,15.395696889712251,-37.731567156552146,19.56271256569325,-44.55204484451626,24.81114017212834,-50.21922982229994,30.373573910947037,-54.34323029642254,36.30424563908896,-56.06665066684049,41.862247637018896,-59.120268970359575,47.95641822486161,-60.98515370758401,53.47479042967932,-63.18766282487378,58.70898846008273,-65.08010825978698,64.30525571643308,-67.71750320285757,69.20971171039815,-69.23532622095483,74.32216982319105,-69.94017877030981,79.00875767802944,-71.8728212673238,84.12408526248859,-71.56955214001985,88.75438891348287,-72.64394251602808,93.18413190212188,-73.757353449428,96.95549475673056,-73.96943161249997,101.50441794123518,-73.73448355104719,106.05269566408816,-70.95751855912235,110.60007897298377,-69.78876417907426,114.52456689536945,-68.88334786440679,118.81912872364693,-67.35640681096174,123.22446222076596,-66.08131338019233,127.06165556286734,-65.84048962184224,130.8716990503241,-64.48214340818431,134.65322995051866,-61.909464372069614,138.27939680649195,-59.58681744853382,142.41094407507447,-55.938478725875314,146.4202998350142,-53.18329976541976,150.49972806561917,-51.94588092626032,154.5783817404682,-50.79163996989816,158.19362174483547,-49.48331412915629,161.62565360785558,-46.52592500489421,164.65377806801553,-45.18440183455382,167.096993308548,-44.830485628012305
d0.95lr0.1-3,0.146865573196866,0.5000943430417069,0.2127032791194079,-5.190770938321513,3.3294006388851463,-12.269538236877384,7.372318688116036,-20.373914547332582,12.177943545547848,-28.728591820576323,16.340700708426837,-37.1071731624714,21.959894926446328,-41.494064388982295,27.53533589859724,-45.77605960470071,33.25916925005077,-50.15811415499689,38.61661015538771,-53.94255921364837,43.68190825777087,-58.5467180792127,48.86082420516558,-61.87204703422928,53.84580542255432,-64.78587130782994,58.89520183690519,-67.29226445482108,64.61073920583162,-68.68366915838816,69.6214684045185,-69.71099698137323,74.66575874613409,-69.6571454897063,79.47253975676095,-70.9833277290165,84.77730630159809,-70.83077070179989,89.65901263180255,-71.57837638806745,93.6799383903678,-72.28263391225138,98.09046782248038,-72.31387682980197,102.92249017689726,-71.71416598786975,107.0821178411735,-71.4723518864391,111.63009532252485,-71.66052997231493,115.95968824070029,-71.60414088582628,120.0150084437978,-71.19596667954337,124.16043658734533,-69.73822977878848,128.31435254153212,-67.67165528206574,132.44610486043274,-64.86024627145748,136.41152101678856,-61.741491237921,140.4570378850244,-59.33353029439752,144.36517441154294,-58.16975578303496,147.87802076123265,-58.42205883401814,151.2292183683746,-58.33231217150248,154.4909904557342,-58.18250651264089,157.40783725328563,-57.92792730286601,159.91365184699472,-56.81817368921782,162.20869113844535,-56.176864775046944,164.67885436854843,-55.087357093075354
d0.95lr0.1-4,-0.5269237533704256,0.961718886721463,-0.6673016454698706,-5.2794308871320546,2.925143776686208,-12.807146641525968,6.771181985024437,-21.740300165673087,10.643993265543699,-28.96408671536966,15.366451770451409,-36.21509814476071,19.845941459104463,-43.36226897950811,25.74471921049038,-47.87278002311518,31.710802297532336,-51.57358423401083,36.9481048943775,-56.69431948630735,42.62479594503757,-60.033399593491744,47.88323962250137,-63.23332401870687,53.117758129066665,-66.8241976925894,57.89705178652909,-69.16091375671965,63.49477979853159,-71.44158313266621,68.21274454513498,-73.2920444458049,72.80857068413265,-74.67646163858444,78.01928741855141,-74.80408717987797,82.99557463666596,-75.22611344203769,87.788570897475,-74.98428543924084,92.40242427286091,-74.44277693238809,97.11177048432974,-72.96538106265025,102.2157370608861,-71.72232714835144,107.0494064106002,-69.78617830155304,111.50369355463624,-69.1225000264992,115.81731669726017,-68.61614375172272,119.67782379201526,-69.04608378691401,123.84429069954734,-68.20080764021344,127.94941575443161,-67.40641185764372,131.9350735608318,-65.6280001202085,135.3308820565967,-64.91494202572994,139.19166959823627,-64.12391127142573,142.90377124858415,-63.403675942012185,145.96567637635582,-62.40298827136279,149.49121842541177,-59.63780073404337,152.71591413569604,-57.5260266969801,156.38955736307588,-55.18494743502508,159.9337832877961,-53.68851732064526,163.2840773154846,-52.60903803312392,166.32404280407346,-52.01710496323385
d0.95lr0.1-5,0.06306771753347107,1.110262964183317,0.43478588436450494,-4.411337188636753,3.390229221531732,-11.809591465588259,7.375315483852017,-19.90756485135171,11.606664773094998,-29.489277140334405,16.757158835720773,-36.50293325754151,21.266886726303262,-44.02491502041679,26.560176776949234,-48.21245320965892,31.936659206544075,-52.518479282358875,37.4188811075434,-55.1123740960051,42.69066393586612,-59.591707567481464,46.63625384342013,-64.43345956331063,51.80926144058174,-68.12511040596787,56.04835420709069,-71.02532195325985,61.85885887859683,-70.30216490177693,66.87973904838248,-71.58692137709807,71.28404014112523,-72.6615891624884,76.57898704520734,-70.62412897532491,81.86794838081319,-71.05797635812972,87.01144633701735,-71.8068643506615,92.07169175764943,-72.09210837357851,97.11314121855503,-70.4578078176114,102.31413116345709,-68.48514271098148,107.34502475395806,-67.68251798507613,111.71735049493094,-68.06829295937261,115.93811516366537,-67.33999070520312,119.79613496063806,-66.2061776639999,123.85891451809685,-65.5648498979535,127.91635753557605,-64.2832077179932,131.61228356414193,-64.47613635097568,135.51444190757016,-63.292731405462625,139.51545677297932,-62.055035704348484,143.7289462836934,-59.5673304335944,147.53884152947566,-58.81588617668209,151.39710241707047,-56.82734553413179,154.50538038940752,-56.333131692204034,157.99879435774494,-54.08042662671809,161.1240172352884,-52.36418239069539,164.3643743128554,-51.34004914351358,167.52370331463226,-50.42111545235372
d0.95lr0.1-6,-0.0016276947657800633,0.5799615504498183,0.06661873351646008,-5.466821744770906,3.1431015584325026,-12.55445121844497,7.018675778148135,-20.552726193183236,11.944927314609025,-27.99636526165974,17.09557615139899,-35.61627391705807,22.025350107456337,-42.48918930970477,26.52733912017254,-49.35669178830405,31.482511263792965,-53.90509328750846,36.90936639595392,-58.07828474809593,42.0511887526578,-62.21034053572245,47.085792991940934,-66.42155010804912,52.3652336700001,-68.18267342867449,56.42406201756918,-69.78833839991817,62.68436794028856,-69.48558576934795,67.78079637802693,-70.73190823051475,73.42010403459253,-69.2474978137946,78.54262408907724,-69.75569326307752,83.19481081185218,-72.5541471723,88.261758852495,-72.350418821978,93.73640069551311,-69.50421719744975,98.47058388689781,-69.4896488033827,103.27892959345031,-67.78373249159057,107.62503725127796,-68.71107157266266,111.53804988278002,-70.17658599085789,115.35193142559575,-70.9693436687442,119.02795328064498,-70.48035022773699,123.32084503027156,-69.51940657184758,127.36898073902498,-69.03741317586449,131.02118388720842,-66.04496216255804,134.56218847316796,-63.51584375355808,138.0134486853976,-62.74543510412931,141.57969153338294,-60.94535884754634,145.03798857080568,-59.0485832041366,148.84851608745254,-56.80041105128854,152.62034649480373,-54.85309313279896,156.50611760750724,-52.751136146946955,160.18965170353292,-51.51451203765126,163.68984364733473,-48.82159410256468,166.975934959098,-46.14213806093021
d0.95lr0.1-7,0.5706884522397964,0.8187645882984136,-0.2606551589649069,-4.228906461892833,2.8406601449540703,-12.240293578144705,6.635207463681951,-21.03617275401805,11.518240462318293,-28.91663790506408,16.70680773799527,-35.69966129428433,21.280492464222764,-42.82858408453879,25.35617228876584,-49.24655371410129,31.308574684941128,-52.79340848809177,37.107809257294186,-56.14256994896391,42.724838614282746,-59.0662464952516,48.01258495570814,-62.37873747464117,53.20358526658012,-65.96354917627583,57.64900958728294,-69.73104289798468,62.99536797233174,-72.01015793095324,67.73292482029608,-72.96700237384579,72.69469218905756,-74.01866568554527,78.06181866492433,-74.21100066902935,82.83526030330486,-74.15399310919028,87.69765360349545,-74.75099776865137,92.44626572641026,-75.2486018459704,97.17456569264888,-74.05449449056535,101.85820305417315,-73.07388751016728,105.61927154856298,-73.63443736402516,109.90856268728706,-71.11101648900456,114.13415367597102,-71.7692597034569,118.26968212889696,-71.60535430474691,122.26085608155772,-71.08472927960382,126.1714071450707,-68.73908735860822,130.13065848461028,-66.71049095019121,134.49557939662898,-64.29525524419205,138.60073608965314,-62.65146901474989,141.7055158195593,-62.08176055988386,145.1533317230832,-61.27701542835496,148.32009947714963,-60.606516041512386,151.50652096833196,-58.51650716980903,155.05621474477675,-55.997184983331564,158.582096670186,-52.64149117728275,162.0434215510096,-48.61797933814865,165.67463266289474,-45.29240204235901
d0.95lr0.1-8,-0.7989110630269245,0.1129562619742619,-0.47477983974429083,-6.135833551039949,2.158517743151021,-13.789058688555716,6.272719717455624,-21.72229714840904,11.344833815658125,-28.592917905694073,16.266074454074186,-36.55118302534904,21.024393104005505,-43.570491911018266,25.8958917763039,-50.42417125421231,31.271036824330885,-54.94058879310831,36.165706512659526,-59.60211778351086,41.02081766199531,-63.922143809064885,46.16073959381011,-66.01263359720278,51.78211371406382,-66.10091169925795,56.903936172648976,-68.32538260659722,61.96610404979635,-71.55072267190474,66.98676533179865,-73.50181272425198,71.95137002972155,-76.04654575022927,76.5299932200243,-78.96104563000479,81.69579161303353,-76.9776654026114,86.40276423435346,-77.29291556174186,91.28248498029274,-76.11568189553827,96.25744157877614,-72.28142760200276,101.16536459025552,-69.68145298575193,105.7729663017757,-69.52403616853333,110.2569168935765,-69.23118377289484,114.8580503059948,-67.96904146216274,119.13265493338258,-67.16439422323386,123.17439322089619,-66.53557516516064,126.9637117969848,-65.00158788339586,131.3219455993993,-61.0682097006251,135.49795573286474,-59.391916587692364,139.44132662878206,-58.16963311592197,143.70536509472714,-56.130110670681276,147.54942287480742,-53.58743428154989,151.32453187507554,-52.63286889157151,154.4973164804184,-52.84463923056446,157.56378519864714,-52.41111587155457,160.0977121377174,-51.634101511216834,163.4959503628262,-49.677767843349294,166.90731693446347,-47.48528679771307
d0.95lr0.1-9,0.48268103101710125,0.7860357021419768,-0.09073003660475543,-4.952958827836954,2.568672556477359,-12.139416815118665,5.767673662500526,-21.052112554899736,10.516888925246688,-28.52046601416989,16.326475744862215,-33.928386751787265,21.428958589999926,-41.59196685133993,27.080021083667752,-46.5916553576311,32.58174598465489,-51.13469462252867,37.314282910831714,-55.636623700643405,42.747050635721656,-58.61513848002574,48.11329283449207,-61.819675974058924,53.46231921710654,-64.13532262697203,58.88660734380671,-65.91306132989465,64.16766472873876,-69.41819674712808,68.36922319045144,-72.54911601966425,72.04078176677078,-75.22278666222635,77.2969015414691,-74.68832993958938,82.25646431562734,-73.61436589414505,87.07995575658596,-73.12188889459736,91.52733072052757,-72.98050315098611,96.44224290316542,-71.48411111113788,100.9550339484351,-70.92768939528074,105.0520716346894,-72.31183955796449,109.55255422595557,-72.21867660112451,114.08690019670533,-69.96226638831567,118.62889209817949,-69.03484835445137,122.60673135668591,-69.71686984053687,126.66605503445004,-69.4870925668168,130.58181568334382,-68.46819046705761,134.30975643848865,-67.24767979888419,138.39280665803585,-64.39761803290472,142.65598338380923,-62.202312579618365,146.51751457897225,-60.658600824918686,149.9387674482818,-59.32798074689696,153.21886925532553,-57.026453523210925,155.8280446442063,-56.16894233807379,158.6771504363633,-55.52223693802983,161.7679047466427,-54.46595197368243,164.80475999747955,-53.34506592925006
