id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1
200^60000^sgd-0,0.19823184178997744,-0.12080587719465162,0.14332637074360194,-0.0822153031982416,0.17724784437765911,-0.0830816313668904,0.18676576270362688,-0.06437155074084855,0.19149767392954012,-0.06354075680910161,0.17440845555941767,-0.0781350785622159,0.18712032954401106,-0.08226728794281224,0.17373172551061028,-0.07427603953228396,0.18992386909055142,-0.07878618780550178,0.17907815388336606,-0.08532936539472485,0.16899246121340608,-0.0862013602069203,0.19500389668415888,-0.08169550101479939,0.21792024006859706,-0.0821017353860734,0.21398449269777048,-0.08169615390123174,0.18736249442991762,-0.07204975668694517,0.15396856064071252,-0.07217025781308362,0.16591840294225407,-0.07913039946796714,0.11012707232936912,-0.08087534474578495,0.15106127101913347,-0.0828342239047492,0.17532190902555056,-0.08510921297801886,0.1796255925500821,-0.07382263287398078,0.17266526497370685,-0.0869954770994529,0.23200714927919405,-0.07833393447481812,0.20452149377202491,-0.0860700676137325,0.20824259048685861,-0.08294107352206671,0.15847473776797574,-0.07394870015103586,0.16556289568601826,-0.07064532435790871,0.19407014906027426,-0.06515736204895747,0.15954319671142003,-0.07904724986212533,0.2111405178180686,-0.11278067704066473
200^60000^sgd-1,-0.4985310306618065,0.2896070538129197,-0.4984999244417168,0.2530663541898645,-0.4401290073188335,0.25051046446060765,-0.4378062468330464,0.24636913593297555,-0.479616803516405,0.25296078234506275,-0.4649525606200249,0.26913557214129646,-0.5107789851242186,0.2535632210260699,-0.48991947108447803,0.23845703729021797,-0.5184558438462269,0.22110493102533912,-0.5324492249728178,0.22447040034439156,-0.500263513650752,0.23730812188896713,-0.49632578779436703,0.2468625275015463,-0.4529335708764553,0.2356407294462435,-0.42560160304232864,0.25226805430050825,-0.43493752186672596,0.24047628009584787,-0.40035947485133844,0.25530815624575104,-0.43440702830925165,0.2588249684626782,-0.41693906052762475,0.2583130580067438,-0.4206173114577659,0.2618134609074528,-0.41578312812990753,0.2571292580694108,-0.4208535324114574,0.259663735422743,-0.4741011940350529,0.24701215678007776,-0.4441123105141467,0.25301455204675605,-0.48156161088821364,0.2546398749260056,-0.4926448794476613,0.238830295720699,-0.483090368379013,0.25229290436862617,-0.4974726943097857,0.24041423828197053,-0.5011623945735827,0.22931139697900674,-0.5012548227189879,0.24831996964829894,-0.3314927082823577,0.2519146934907998
200^60000^sgd-2,-0.41997121845215524,-0.15892005219080904,-0.40279272482191625,-0.1333595879961194,-0.3313061188097557,-0.12321099085738213,-0.3239609859118747,-0.12922324805818586,-0.329122420702735,-0.12071152602214259,-0.35978316172357216,-0.1316329382180673,-0.3888331414513625,-0.13137525749763934,-0.41201177267043165,-0.14535434760356242,-0.39404883908774635,-0.1350135361705704,-0.3630782257213205,-0.1219317065773825,-0.3568207812210693,-0.12145685239384764,-0.35561751804009173,-0.1264689142954568,-0.35365362164313974,-0.1245802129255357,-0.35966048892603253,-0.12916472831274126,-0.34171605086334855,-0.1262660640160024,-0.37118713322571273,-0.13612622141690786,-0.345049162636982,-0.12781952185833323,-0.3493429451847172,-0.13183976796415606,-0.3861796507343896,-0.14505336665591023,-0.289350770386925,-0.12249396207722621,-0.31326764315648137,-0.12989106467078546,-0.3312708638904544,-0.14190805863502395,-0.35033156199086274,-0.14984927029826087,-0.40787542525813847,-0.14677839595643044,-0.4095737724959711,-0.12749081250862013,-0.3820239814478591,-0.12321478729192184,-0.33646762099658667,-0.11767741365447296,-0.3502518082381912,-0.10590615239217639,-0.34639815336435276,-0.10614773524127936,-0.17576825269365948,-0.15167655766795188
200^60000^sgd-3,-0.4930116290896861,-0.11469590406641696,-0.463448901202614,-0.09403380286839234,-0.4151464756006155,-0.08057249012651407,-0.3696494463619675,-0.07924576937362125,-0.45430931504188615,-0.09962177958629766,-0.47447172120393066,-0.09607199656805253,-0.45170159843299845,-0.08399904465096457,-0.4659278362810311,-0.09674495748934568,-0.45267774291581564,-0.09102655499741491,-0.43608561515536315,-0.08455398988609376,-0.43384047644326834,-0.09866886179921207,-0.39181870266303315,-0.08540206765293362,-0.41064445905202424,-0.08499290087229208,-0.4135669412632668,-0.0921098764049341,-0.42607822045492844,-0.09673618380160093,-0.42846560576973636,-0.09084079877772727,-0.41734437920416134,-0.0861809162329892,-0.3988494653649552,-0.08340755507467554,-0.4062164762803084,-0.09376582205110713,-0.36656596345875286,-0.08117030397314803,-0.42980891346746997,-0.09340399147715218,-0.42210858068113255,-0.07933496155302752,-0.4888874608340705,-0.11022039949885418,-0.4912116723722292,-0.1073664390804696,-0.5070568875155007,-0.10612626630944991,-0.44808978285544804,-0.08884296817573409,-0.4163393306588427,-0.08419797618904551,-0.43855049693793097,-0.07899088010846368,-0.4623223005284975,-0.07807155848797868,-0.41546444026723267,-0.12026591784564604
200^60000^sgd-4,-0.39863827962451664,0.18039425209162321,-0.35759910690874075,0.1526287570332491,-0.3153312749653372,0.14661395769694258,-0.32940717721594354,0.127968324056649,-0.36258280426902917,0.14137051680480572,-0.3623044033064695,0.15173723864423555,-0.29302667056000553,0.1605409092984592,-0.3047247940549394,0.14182404633758708,-0.301498359184338,0.13500365195287595,-0.3210333290948223,0.1313731974920693,-0.2781658279063644,0.1304125735977457,-0.2989488230997046,0.14083468451334677,-0.29122901075665336,0.15526123553543675,-0.29747373059633464,0.15956233867640196,-0.33945473658154374,0.15171588199325653,-0.3150719111980438,0.15813558236168337,-0.35494957589675236,0.15713463282470636,-0.37042497349337894,0.16115535197146091,-0.33997250181247557,0.16329028228118334,-0.36507789374256944,0.1576146432032457,-0.3789810778727644,0.1453113292623055,-0.35169198076061836,0.16153029060309612,-0.3298339494567367,0.1552551830230516,-0.28325660952930554,0.15427222887610895,-0.30681179006274006,0.13127217228609867,-0.31941564457724203,0.13435680230922306,-0.34570569786356364,0.12379254537108857,-0.3424486365446781,0.13451497620966266,-0.3745807794008153,0.14763722239903265,-0.2653134779907895,0.19984209590852253
200^60000^sgd-5,-0.6501966876962482,-0.2536915819343996,-0.6232476905117335,-0.22251720265551994,-0.5643662445423466,-0.20208063613694088,-0.5480155663720481,-0.2007027553921707,-0.6031314445934481,-0.20908168900275742,-0.6206456377338511,-0.21473625372472835,-0.6002782576312098,-0.21296568306366453,-0.6025452125159705,-0.21595430594895498,-0.5796434787274762,-0.2052568067546613,-0.5992902180317148,-0.20735869972141574,-0.6201424855771778,-0.22273328408122547,-0.5868226602864021,-0.2050298068661591,-0.5580078935456148,-0.19449656652659789,-0.6238343179775998,-0.21894924746415215,-0.5995712523536697,-0.21496235818790316,-0.6009624553666983,-0.22831942423122073,-0.5811305192255642,-0.2218814961330044,-0.5744689066147748,-0.22345308933588343,-0.5427434720398568,-0.21302777078871357,-0.5639804892497252,-0.22324656615364363,-0.5590135276606425,-0.2141368542949324,-0.5741266730966602,-0.21154524718228535,-0.6055288584900863,-0.21464262630545689,-0.6151085560021532,-0.21972871269532773,-0.6446074670311837,-0.21947816229520767,-0.6266348984364591,-0.21972626823436692,-0.5791839035782059,-0.20487724798943233,-0.5947033591578615,-0.192588460989687,-0.6203310037322873,-0.20401379278296145,-0.3750626517029084,-0.21440271337849143
200^60000^sgd-6,-0.6867852154545401,-0.13028586440755452,-0.6396064422767528,-0.09300271202112338,-0.6364621948958677,-0.09666876123566803,-0.5907196862018205,-0.08708353660780078,-0.6572760754417644,-0.1088422285435715,-0.6551382429254077,-0.10539549926888864,-0.6379892843830538,-0.09988887713239059,-0.6241668760991286,-0.0919344579226917,-0.6318768997114312,-0.10075760714929055,-0.6553810773192105,-0.09140174453407711,-0.6631771744961017,-0.09158932370479511,-0.6560722149093278,-0.09159414720965234,-0.6372471765284162,-0.09084507007946058,-0.6147020110356961,-0.09289905056549151,-0.6161740491527699,-0.0976718776857249,-0.6000682496006452,-0.09793559464697213,-0.6329779321256243,-0.10391177850171374,-0.6077266718410466,-0.08937692037277331,-0.6768541573553477,-0.0966735787886304,-0.6636467615461736,-0.09248661504942865,-0.6535179607112254,-0.08903382633940458,-0.6496786020076232,-0.09373550670598753,-0.6396882771656053,-0.10330160346127704,-0.6611464021416342,-0.11132389258341013,-0.6213654194136128,-0.09648716967398163,-0.6337649133604688,-0.09755866801332752,-0.632915870706586,-0.10159684954517716,-0.646040340389514,-0.09281919113659187,-0.6708432492051142,-0.09478477736003607,-0.4119103773242376,-0.07780473153593931
200^60000^sgd-7,-0.5837106607157408,-0.2577054427165358,-0.6039160813270076,-0.2306293587069969,-0.5403930005382233,-0.21223392897726362,-0.5203179450638639,-0.21108471119498629,-0.5365909546318428,-0.20893786985902021,-0.5507392239563499,-0.2033441876758787,-0.5909051290093584,-0.22629306936750881,-0.5687875368239077,-0.22391117340609626,-0.6070040753014311,-0.2292836546929467,-0.5663922604650138,-0.21025416166151173,-0.5894087934601364,-0.21207252631424503,-0.5902781173522555,-0.20868091998796653,-0.5655375688708196,-0.20713781165501702,-0.5509612442278105,-0.21172809698062448,-0.5443398369185455,-0.2210422795768365,-0.5259080769177601,-0.21942883001806562,-0.552089513993704,-0.2288155244075703,-0.5521577395137123,-0.22324412869093277,-0.5727854660600963,-0.22301223399528625,-0.553153329039217,-0.22175338116479787,-0.5571355445869995,-0.2233755275872321,-0.5523086847615531,-0.22863982463033203,-0.5569709136901247,-0.2206022649223931,-0.5931395832512707,-0.22434867501262323,-0.5663205795352334,-0.21141916495301113,-0.5434331774024201,-0.2108847523402466,-0.5279346737763754,-0.20237240797080952,-0.5492995622621308,-0.1949117075927585,-0.6017233953952497,-0.21803821999070333,-0.4365381620987654,-0.256437565734561
200^60000^sgd-8,-0.789469504629774,-0.2922725212781147,-0.771161566086087,-0.2702440639738086,-0.7386519932087244,-0.26379331879805484,-0.7481985436588506,-0.25945261661992053,-0.7554410538489214,-0.2624096478149132,-0.74355348489433,-0.26814251783928394,-0.7444832632019831,-0.2722883668959337,-0.7782295250332358,-0.2832988102106299,-0.7782400733759244,-0.2790460741188865,-0.7667220520423256,-0.2734288712883274,-0.7480045624948561,-0.2690049429105878,-0.761379874134374,-0.2591564226027732,-0.7706432354246265,-0.2596984732880096,-0.7526898269621437,-0.2569276774902084,-0.7595032612488131,-0.26133508822926904,-0.7648088991321913,-0.262279300625857,-0.7564062498337945,-0.2647288322895632,-0.7508275896439954,-0.2649055135092871,-0.7301705953896155,-0.26630266865098434,-0.7382318414076096,-0.27273947352289263,-0.7279474429477528,-0.27313818714823257,-0.7573655409390352,-0.28250887862567836,-0.7506246113210715,-0.27867629267166505,-0.746565161066232,-0.27930656321128283,-0.7616650935276137,-0.2702743717322698,-0.7598458322670751,-0.26479660162316143,-0.7653208664631498,-0.25981561580900653,-0.7645097830749029,-0.25673217004609494,-0.775951030471302,-0.2638045435969922,-0.563354898754527,-0.21415726771159735
200^60000^sgd-9,-0.5123591667745134,-0.2935475481703129,-0.458835861189425,-0.2387669437501264,-0.42234550090554146,-0.22385913350004524,-0.42725386737705395,-0.2234923532977808,-0.4867289409670127,-0.2363404586224717,-0.4718115046326082,-0.2420553177982408,-0.4581891583978231,-0.24351203804727248,-0.4218133459500433,-0.23214067693443283,-0.39600067854520915,-0.235783353416074,-0.402235419355662,-0.22766942734387005,-0.4224464330040295,-0.23158532593834807,-0.4042096315830191,-0.221770872242809,-0.42420053397973556,-0.22393387028756004,-0.4185892679173057,-0.21831687435738628,-0.46456183650976857,-0.2329473829654881,-0.4787016235341921,-0.25119474138056896,-0.46404715795403206,-0.2343399779051027,-0.4763129353924695,-0.24102719138338377,-0.4651380514018664,-0.23840152157490266,-0.47100331306605253,-0.2457850665639029,-0.48128578933424027,-0.2405148915600557,-0.4882867738630714,-0.23887037627899949,-0.4603860183513565,-0.24506447346514537,-0.4527339045745505,-0.25445174717399016,-0.4662538961483053,-0.2535543551398908,-0.46199889409539163,-0.24026322403095346,-0.378074396683745,-0.21288227489009764,-0.4026976919513913,-0.20578874733223187,-0.48567676623923967,-0.23448842267871112,-0.44861918254770466,-0.2045629074931961
